,,,time,FL,normalize
0,5860,6.948726462,,,
2,14277,16.92951667,,,
4,20640,24.47469525,,,
6,24395,28.92733482,,,
8,27744,32.89854385,,,
10,31151,36.93852867,,,
12,33315,39.50457715,,,
14,35228,41.77299246,,,
16,37049,43.93231514,,,
18,38409,45.54498885,,,
20,39290,46.5896694,,,
22,39945,47.36636152,,,
24,40485,48.00668785,,,
26,40924,48.52724944,,,
28,41148,48.79286629,,,
30,41305,48.97903524,,,
32,41494,49.20314946,,,
34,41636,49.37153157,,,
36,41800,49.56600104,,,
38,41933,49.72371105,,,
40,41926,49.71541052,,,
42,41918,49.7059242,,,
44,42025,49.83280368,,,
46,42024,49.83161789,,,
48,41982,49.78181473,,,
50,42033,49.84229,,,
52,41982,49.78181473,,,
54,42043,49.85414789,,,
56,42044,49.85533368,,,
58,42166,50,,,
60,42163,49.99644263,,,
